"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"442",2,2,29,-0.288551380575546,0.666666666666667,6.04,6
"443",2,3,29,0.720413384637137,0.531507936507937,-1.450390625,16
"444",2,4,29,-1.37697908917321,0.602380952380952,-1.232509765625,9
"445",2,5,29,2.25207224449267,0.760606060606061,9.99967852144474,12
"446",3,1,29,-17.5479503245939,0.64423503879749,-0.0369238465039063,2863
"447",3,2,29,-7.95160328220446,0.649786628060154,0.208788681030273,712
"448",3,3,29,-0.0110521805511108,0.61328050324214,-0.2491015625,35
"449",3,4,29,-0.371339134863296,0.611111111111111,-1.99999640168177,4
"450",3,5,29,NA,NA,NA,NA
"451",1,1,30,NA,NA,NA,NA
"452",1,2,30,NA,NA,NA,NA
"453",1,3,30,NA,NA,NA,NA
"454",1,4,30,0.465254851600283,0.8125,9.99967852144474,9
"455",1,5,30,-1.82481476244257,0.646502128811057,0.0345726016796369,326
"456",2,1,30,NA,NA,NA,NA
"457",2,2,30,NA,1,NA,2
"458",2,3,30,0.462546606991686,0.75,2.27125,3
"459",2,4,30,NA,1,NA,2
"460",2,5,30,1.66403280199938,0.65952380952381,-0.5553125,11
"461",3,1,30,-5.17560839481012,0.614291965587781,-0.245812187194824,291
"462",3,2,30,-4.01903522889279,0.670464925076799,0.227144775390625,105
"463",3,3,30,-1.0507037878604,0.601816635745207,-0.9086328125,15
"464",3,4,30,-0.726272996970147,0.613247863247863,6.51109375,14
"465",3,5,30,NA,NA,NA,NA
"466",1,1,31,NA,NA,NA,NA
"467",1,2,31,NA,NA,NA,NA
"468",1,3,31,NA,NA,NA,NA
"469",1,4,31,NA,1,NA,2
