"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"295",2,5,19,0.0272907218396595,0.588888888888889,-1.56445103112378,7
"296",3,1,19,1.23580354857323,0.648740694062749,0.2190463440625,1118
"297",3,2,19,0.344957423298138,0.671551869950447,0.522314453125,382
"298",3,3,19,1.62081323488423,0.673482104852001,0.35154296875,156
"299",3,4,19,0.983895088790156,0.75,2.27125,3
"300",3,5,19,NA,NA,NA,NA
"301",1,1,20,NA,NA,NA,NA
"302",1,2,20,NA,NA,NA,NA
"303",1,3,20,NA,1,NA,2
"304",1,4,20,1.51566350998478,0.592787114845938,-0.44931640625,18
"305",1,5,20,4.06339682350293,0.616041410386421,-0.322709285963856,320
"306",2,1,20,NA,1,NA,2
"307",2,2,20,NA,NA,NA,NA
"308",2,3,20,-0.457006741951098,1,9.99967852144474,4
"309",2,4,20,0.945776292057632,0.598214285714286,-1.03376708984375,9
"310",2,5,20,0.123670847197222,0.631635802469136,-0.867412109375,19
"311",3,1,20,-0.78724130825991,0.673471165405585,0.79908203125,132
"312",3,2,20,0.594439036998204,0.64099576433321,-0.290322265625,538
"313",3,3,20,3.52311846446552,0.668516751865838,0.2249365234375,139
"314",3,4,20,2.09853784515511,0.598214285714286,-1.03376708984375,9
"315",3,5,20,NA,NA,NA,NA
"316",1,1,21,NA,NA,NA,NA
"317",1,2,21,NA,NA,NA,NA
"318",1,3,21,NA,1,NA,2
"319",1,4,21,NA,1,NA,2
"320",1,5,21,10.115479827989,0.646689183079467,-0.0369153601916504,3396
"321",2,1,21,NA,NA,NA,NA
"322",2,2,21,NA,1,NA,2
"323",2,3,21,NA,1,NA,2
"324",2,4,21,0.846764579990346,0.650491391782484,1.64705078125,42
"325",2,5,21,1.03006073216311,0.70678527821385,1.61171875,36
"326",3,1,21,0.594982075295796,0.642319800376233,0.174698791503906,2691
"327",3,2,21,1.50880139461379,0.635849194146188,-0.00784852912109375,1509
"328",3,3,21,0.69127633082309,0.712596997300945,2.977890625,25
"329",3,4,21,1.57599574981246,1,9.99967852144474,8
"330",3,5,21,NA,NA,NA,NA
"331",1,1,22,NA,NA,NA,NA
"332",1,2,22,NA,NA,NA,NA
"333",1,3,22,NA,NA,NA,NA
"334",1,4,22,NA,1,NA,2
"335",1,5,22,7.81951286618142,0.642038557512571,-0.109431133964844,1783
"336",2,1,22,-1.05981493107492,0.75,2.27125,3
"337",2,2,22,0.071824527221476,0.791666666666667,9.99967852144474,5
"338",2,3,22,-0.208336035425031,0.648148148148148,9.99967852144474,10
"339",2,4,22,0.376499335506988,0.816964285714286,5.8515625,9
"340",2,5,22,NA,1,NA,2
"341",3,1,22,0.41759410914899,0.640005646065681,-0.149362182617187,1342
"342",3,2,22,0.860615723653524,0.6396527304819,0.0571223838122559,1190
"343",3,3,22,0.782680787539748,0.6560293698063,0.397916259765625,205
"344",3,4,22,3.04764449724259,0.598958333333333,-1.397392578125,9
"345",3,5,22,NA,NA,NA,NA
"346",1,1,23,NA,NA,NA,NA
"347",1,2,23,NA,NA,NA,NA
"348",1,3,23,NA,NA,NA,NA
"349",1,4,23,NA,1,NA,2
"350",1,5,23,6.45288830739844,0.648030823653449,0.163095474937744,1550
"351",2,1,23,NA,1,NA,2
"352",2,2,23,NA,1,NA,2
"353",2,3,23,1.93549131744961,0.791666666666667,9.99967852144474,5
"354",2,4,23,0.804749861357176,0.707422969187675,2.318359375,18
"355",2,5,23,-0.37965997659696,0.728937728937729,4.7209375,14
"356",3,1,23,2.1757184148498,0.646895134534714,0.0747178840637207,1151
"357",3,2,23,0.56577446227694,0.651795780347208,0.0688997275622558,3425
"358",3,3,23,0.0420541610299876,0.65224316101937,0.84619140625,110
"359",3,4,23,-0.0661626299322796,0.75,2.27125,3
"360",3,5,23,NA,NA,NA,NA
"361",1,1,24,NA,NA,NA,NA
"362",1,2,24,NA,NA,NA,NA
"363",1,3,24,-0.58940417833252,0.75,2.27125,3
"364",1,4,24,1.49312027437566,0.8,9.99967852144474,6
"365",1,5,24,3.28984864740214,0.64078803565428,0.2691015625,118
"366",2,1,24,NA,1,NA,2
"367",2,2,24,1.07593985109677,0.611111111111111,-1.99999640168177,4
"368",2,3,24,1.25006195492197,0.694444444444445,9.99967852144474,10
"369",2,4,24,0.977078772066032,0.516666666666667,-1.61156040612378,8
"370",2,5,24,1.47061417016489,0.583333333333333,-1.420947265625,7
"371",3,1,24,2.30202210410353,0.649145208640874,0.0661286266999206,788
"372",3,2,24,0.0634925577377361,0.643251312930523,0.0475057792663574,1872
"373",3,3,24,-0.183625124271982,0.680555555555556,9.99967852144474,7
"374",3,4,24,0.0651421130863288,0.657407407407407,0.5753125,10
"375",3,5,24,NA,NA,NA,NA
"376",1,1,25,NA,NA,NA,NA
"377",1,2,25,NA,NA,NA,NA
"378",1,3,25,1.55421239084312,0.75,2.27125,3
"379",1,4,25,-1.20918402222821,0.666666666666667,6.2284375,6
"380",1,5,25,4.860549008334,0.647992623843015,-0.081642852109024,637
"381",2,1,25,1.61591037324455,0.75,2.27125,3
"382",2,2,25,-0.610428924033194,0.602777777777778,-1.69989048424878,7
"383",2,3,25,-0.124230366305787,0.520833333333333,-1.99999640168177,5
"384",2,4,25,3.29879494968834,0.646197974730583,-0.843857421875,25
"385",2,5,25,2.25377660729189,0.629931972789116,-0.0135546875,15
"386",3,1,25,0.982778336304876,0.657485935782959,0.355223388671875,386
"387",3,2,25,0.241414444985683,0.624527637212435,2.147587890625,90
"388",3,3,25,2.53701482682236,0.63678970203901,-0.337431640625,58
"389",3,4,25,0.450210982492589,0.595021645021645,-1.067626953125,15
"390",3,5,25,NA,NA,NA,NA
"391",1,1,26,NA,NA,NA,NA
"392",1,2,26,NA,1,NA,2
"393",1,3,26,NA,1,NA,2
