"","param_vary","i_param_var","replicate","gamma","stairs2","SR"
"526",1,1,21,NA,1,2
"527",1,2,21,-1.25518755651658,0.75,3
"528",1,3,21,2.30057051895563,0.651388888888889,13
"529",1,4,21,2.60660758754526,0.667052287853643,111
"530",1,5,21,NA,NA,NA
"531",2,1,21,-1.73745068881791,0.715471829757544,43
"532",2,2,21,-0.384709345436344,0.75,3
"533",2,3,21,0.792274195214257,0.686494207546839,58
"534",2,4,21,0.0887332483002513,0.620627504798072,156
"535",2,5,21,0.363316226779844,0.737301587301587,16
"536",3,1,21,-1.28572140414867,0.791666666666667,5
"537",3,2,21,1.54241949495009,0.690828693104671,97
"538",3,3,21,0.132713668790451,0.796969696969697,12
"539",3,4,21,0.226439737566068,0.605833333333333,11
"540",3,5,21,1.49125741426023,0.634287209172475,213
"541",4,1,21,0.059971741521401,0.667356705519814,151
"542",4,2,21,1.11812004158032,0.61438127090301,24
"543",4,3,21,1.56467908196926,0.65968391888452,149
"544",4,4,21,NA,1,2
"545",4,5,21,NA,NA,NA
"546",5,1,21,1.8909184121589,0.875,7
"547",5,2,21,0.969253668565346,0.628453681441041,314
"548",5,3,21,1.43676816638902,0.6778274784176,103
"549",5,4,21,1.26159988539732,0.516666666666667,8
