"","param_vary","i_param_var","replicate","gamma","B2","SR"
"452",1,2,18,NA,1,2
"453",1,3,18,-3.68310503181775,5.577880859375,103
"454",1,4,18,-9.47704383927119,6.68555450439453,753
"455",1,5,18,-26.586585146817,8.82475398480892,3622
"456",2,1,18,NA,1,2
"457",2,2,18,-0.968769543867245,3.234375,13
"458",2,3,18,-3.34530811114866,4.82177734375,62
"459",2,4,18,0.845560969772647,4.75537109375,89
"460",2,5,18,0.249104749230218,6.0186767578125,178
"461",3,1,18,-0.962694439195617,3.19525146484375,52
"462",3,2,18,-0.254909503076449,2.40625,10
"463",3,3,18,-0.775526830849983,2.4375,7
"464",3,4,18,-0.777434268463056,4.4638671875,49
"465",3,5,18,-2.17417705119933,5.033203125,76
"466",4,1,18,-5.15183389153139,5.7384033203125,130
"467",4,2,18,-9.94809071315112,7.546142578125,555
"468",4,3,18,-2.04337835823501,4.695556640625,57
"469",4,4,18,NA,NA,NA
"470",4,5,18,NA,NA,NA
"471",5,1,18,-2.63991023241439,5.966796875,128
"472",5,2,18,-0.966944651927694,3.2041015625,38
"473",5,3,18,0.379658315189546,3.703125,25
"474",5,4,18,NA,1,2
"475",5,5,18,-1.94661651889405,1.75,4
"476",1,1,19,NA,1,2
"477",1,2,19,NA,1,2
"478",1,3,19,-1.0412894032172,2.44482421875,30
"479",1,4,19,-19.8606361028401,8.31866413354874,2714
"480",1,5,19,NA,NA,NA
"481",2,1,19,NA,1,2
"482",2,2,19,-2.77971863750731,4.59375,45
"483",2,3,19,-0.86684418224761,5.04736328125,73
"484",2,4,19,1.13491935636479,2.56591796875,44
"485",2,5,19,-0.220159789508427,5.29025459289551,168
"486",3,1,19,-2.19162772340407,4.6103515625,44
"487",3,2,19,-2.7559968975296,6.02880859375,113
"488",3,3,19,-1.73597429393301,3.03466796875,34
"489",3,4,19,-0.98576028642314,5.1474609375,69
"490",3,5,19,-1.307036118877,4.783203125,46
"491",4,1,19,-9.38685167514645,6.95028686523438,615
"492",4,2,19,-7.96748691514283,4.05961489677429,486
"493",4,3,19,-3.23666303363835,5.40869140625,108
"494",4,4,19,NA,1,2
"495",4,5,19,NA,NA,NA
"496",5,1,19,-5.87004631977262,4.09609985351562,196
"497",5,2,19,-1.08520820268042,3.3046875,17
"498",5,3,19,-1.35165440167847,4.01171875,24
"499",5,4,19,0.259527727464881,1.875,5
"500",5,5,19,-1.35683814544525,2.625,7
"501",1,1,20,NA,1,2
"502",1,2,20,NA,1,2
"503",1,3,20,0.13689156010258,2.171875,10
"504",1,4,20,-14.9857011336441,7.21066705882549,1687
"505",1,5,20,NA,NA,NA
"506",2,1,20,-0.490818752488128,1.5,3
"507",2,2,20,-0.976764623822529,2.0625,10
"508",2,3,20,-0.59034487967974,4.78125,34
"509",2,4,20,-3.68774170873523,5.40985107421875,191
"510",2,5,20,-0.459543764998934,5.3349609375,92
"511",3,1,20,0.5749419409123,1.5,3
"512",3,2,20,-1.12979026546659,4.5048828125,47
"513",3,3,20,-1.69075179940846,4.29638671875,54
"514",3,4,20,-2.96599334627152,4.7630615234375,83
"515",3,5,20,-1.092699526223,4.546875,28
"516",4,1,20,-3.33057097876105,3.7423095703125,109
"517",4,2,20,-3.36303573611261,5.0875244140625,112
"518",4,3,20,-1.29379867204628,4.0107421875,31
"519",4,4,20,NA,NA,NA
"520",4,5,20,NA,NA,NA
"521",5,1,20,-1.23600200736711,4.708984375,51
"522",5,2,20,-0.494531014503576,2.421875,11
"523",5,3,20,-1.25626281210036,4.6875,39
"524",5,4,20,-1.04348998451647,2.84375,19
"525",5,5,20,NA,1,2
"526",1,1,21,NA,1,2
"527",1,2,21,NA,1,2
"528",1,3,21,0.635502478819751,3.046875,34
"529",1,4,21,-5.6970510503288,6.00663566589355,215
"530",1,5,21,NA,NA,NA
"531",2,1,21,NA,1,2
"532",2,2,21,-1.40338495243041,2.28125,13
"533",2,3,21,-0.249886266559876,3.904296875,28
"534",2,4,21,-0.714418681869859,5.376953125,86
"535",2,5,21,-0.223229610042203,3.09375,12
"536",3,1,21,-0.689346930887938,4.984375,60
"537",3,2,21,-1.67847938757964,4.9970703125,66
"538",3,3,21,-1.75659424882169,4.03125,43
"539",3,4,21,-1.5467439296442,3.90966796875,47
"540",3,5,21,-0.769815068203769,3.822265625,41
"541",4,1,21,-9.31879329876585,7.19597899913788,670
"542",4,2,21,-10.7256648111618,7.14100188016891,784
"543",4,3,21,-2.83089114470715,5.35595703125,99
"544",4,4,21,NA,NA,NA
"545",4,5,21,NA,NA,NA
"546",5,1,21,-3.16829440225321,5.25946044921875,80
"547",5,2,21,-1.98352212064613,4.9613037109375,88
"548",5,3,21,-0.371892307407945,2.6875,8
"549",5,4,21,-0.311241803515001,2.828125,17
"550",5,5,21,-0.460817649048289,1.75,4
"551",1,1,22,-1.54603248636032,1.5,3
"552",1,2,22,NA,1,2
"553",1,3,22,-1.96391122322714,4.802734375,62
"554",1,4,22,-10.3844953208702,7.46575927734375,637
"555",1,5,22,NA,NA,NA
"556",2,1,22,NA,1,2
"557",2,2,22,-2.58691414163794,2.4453125,22
"558",2,3,22,-1.72742810644758,5.5224609375,95
"559",2,4,22,-1.16827021913567,6.52099609375,184
"560",2,5,22,0.3497105712263,6.92117309570312,359
"561",3,1,22,0.0325451366270322,2.125,6
"562",3,2,22,-1.13462916826046,5.0859375,43
"563",3,3,22,-0.241929463183582,3.25,12
"564",3,4,22,-1.85377039739603,5.45068359375,93
"565",3,5,22,-3.21106360176905,3.9560546875,91
"566",4,1,22,-2.78925444567718,5.26171875,69
"567",4,2,22,-8.68175513093111,6.9580135345459,571
"568",4,3,22,-2.64955645595647,3.173583984375,41
"569",4,4,22,NA,NA,NA
"570",4,5,22,NA,NA,NA
"571",5,1,22,-2.36946962979347,5.013916015625,91
"572",5,2,22,-1.13492856927734,5.12109375,45
"573",5,3,22,-1.58554190201842,4.384765625,45
"574",5,4,22,-1.29766797006098,4.5546875,47
"575",5,5,22,NA,1,2
"576",1,1,23,NA,1,2
"577",1,2,23,NA,1,2
"578",1,3,23,-1.31306749377362,5.2421875,55
